The 1th Row
	      TIME	    NRiter	    LSiter	       FPR	      FOPR	      FOPT	      FGPR	      FGPT	      FWPR	      FWPT
	       DAY	          	          	      PSIA	   STB/DAY	       STB	  MSCF/DAY	      MSCF	   STB/DAY	       STB
	          	          	          	          	          	          	          	          	          	          
	       310	         0	         0	   2057.87	    493206	         0	   101.355	   99.9565	   99.9878	   100.017
	       311	         0	         0	   2060.52	    495266	         0	    100.65	   99.9867	   100.009	   100.008
	       313	         0	         0	   2066.01	    499398	         0	   100.535	   99.9849	   99.9818	   100.011
	       315	         0	         0	   2071.35	    503541	         0	   101.124	   99.9854	   100.002	   100.007
	       316	         0	         0	   2073.71	    505615	         0	   100.532	   99.9954	   100.009	   100.005
	       318	         0	         0	   2078.29	    509771	         0	   100.443	   99.9888	   100.026	   100.017
	       320	         0	         0	   2082.78	    513937	         0	   100.813	   99.9934	   100.015	   100.016
	       321	         0	         0	   2085.11	    516022	         0	   100.318	   99.9983	    100.01	       100
	       323	         0	         0	   2090.03	    520202	         0	   100.299	   100.008	   100.012	   100.029
	       327	         0	         0	   2099.55	    528600	         0	   100.001	       100	       100	   99.9998
	       331	         0	         0	    2108.2	    537033	         0	   99.9997	       100	   99.9999	       100
	       334	         0	         0	   2114.28	    543376	         0	   99.9928	       100	   100.001	       100
	       340	         0	         0	   2125.13	    556127	         0	       100	       100	       100	   99.9993
	       349	         0	         0	   2138.63	    575374	         0	   100.003	   99.9997	   99.9959	   100.004
	       359	         0	         0	   2150.06	    596875	         0	   101.169	   100.073	   100.587	    99.951
	       360	         0	         0	   2151.02	    599026	         0	   100.086	   100.008	   100.035	   100.002
	     360.5	         0	         0	   2151.65	    600102	         0	      1500	   808.437	   943.796	      1500
	       361	         0	         0	   2152.29	    601178	         0	   1535.24	   820.375	   914.361	    1498.2
	       362	         0	         0	    2153.7	    603332	         0	   1499.99	   781.093	   854.094	   1500.06
	       363	         0	         0	   2155.12	    605487	         0	      1500	   772.168	     826.1	      1500
	       364	         0	         0	   2156.58	    607643	         0	   1500.63	   774.912	   807.671	   1500.17
	       366	         0	         0	   2159.76	    611963	         0	   1499.69	   778.944	   771.183	   1500.46
	       367	         0	         0	   2161.27	    614124	         0	   1500.42	   778.434	   753.037	   1500.05
	       369	         0	         0	   2164.46	    618453	         0	      1500	   768.724	   723.236	   1500.02
	       370	         0	         0	   2165.98	    620619	         0	   1500.22	   763.621	   709.336	   1500.05
	       371	         0	         0	   2167.48	    622786	         0	   1499.97	   756.824	   695.668	   1500.04
	       373	         0	         0	   2170.69	    627128	         0	   1499.53	   740.226	   672.036	   1500.31
	       377	         0	         0	   2176.72	    635835	         0	   1499.99	   706.444	   635.933	   1499.99
	       385	         0	         0	   2188.82	    653345	         0	      1500	   640.495	   587.144	      1500
	       395	         0	         0	   2205.83	    675404	         0	      1500	   566.168	   540.184	   1422.69
	       405	         0	         0	    2225.1	    697655	         0	   1499.99	   503.021	   497.314	   1324.93
	       415	         0	         0	   2247.34	    720128	         0	      1500	   449.215	   456.584	   1243.39
	       420	         0	         0	    2258.9	    731422	         0	   1500.07	   424.922	   437.083	    1204.3
	       421	         0	         0	   2261.22	    733684	         0	   1500.03	   420.314	   433.372	   1197.54
	       423	         0	         0	   2266.07	    738216	         0	   1499.99	   411.014	    425.65	   1181.89
	       427	         0	         0	   2276.17	    747320	         0	   1499.97	   393.533	   410.355	   1151.41
